ano,territorio,nivel_territorial,codigo_municipio,etapa_ensino,indicador_codigo,indicador_nome,valor,unidade,fonte,observacao_metodologica
2014,Tijucas,Município,4218004,Ensino fundamental,taxa_aprovacao,Taxa de aprovação,92.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2014,Tijucas,Município,4218004,Anos iniciais,taxa_aprovacao,Taxa de aprovação,96.10,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2014,Tijucas,Município,4218004,Anos finais,taxa_aprovacao,Taxa de aprovação,87.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2014,Tijucas,Município,4218004,Ensino médio,taxa_aprovacao,Taxa de aprovação,78.80,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2014,Tijucas,Município,4218004,Ensino fundamental,taxa_reprovacao,Taxa de reprovação,6.30,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2014,Tijucas,Município,4218004,Anos iniciais,taxa_reprovacao,Taxa de reprovação,3.50,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2014,Tijucas,Município,4218004,Anos finais,taxa_reprovacao,Taxa de reprovação,10.30,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2014,Tijucas,Município,4218004,Ensino médio,taxa_reprovacao,Taxa de reprovação,13.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2014,Tijucas,Município,4218004,Ensino fundamental,taxa_abandono,Taxa de abandono,1.10,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2014,Tijucas,Município,4218004,Anos iniciais,taxa_abandono,Taxa de abandono,0.40,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2014,Tijucas,Município,4218004,Anos finais,taxa_abandono,Taxa de abandono,2.10,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2014,Tijucas,Município,4218004,Ensino médio,taxa_abandono,Taxa de abandono,7.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2015,Tijucas,Município,4218004,Ensino fundamental,taxa_aprovacao,Taxa de aprovação,91.90,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2015,Tijucas,Município,4218004,Anos iniciais,taxa_aprovacao,Taxa de aprovação,94.80,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2015,Tijucas,Município,4218004,Anos finais,taxa_aprovacao,Taxa de aprovação,88.00,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2015,Tijucas,Município,4218004,Ensino médio,taxa_aprovacao,Taxa de aprovação,79.40,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2015,Tijucas,Município,4218004,Ensino fundamental,taxa_reprovacao,Taxa de reprovação,7.30,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2015,Tijucas,Município,4218004,Anos iniciais,taxa_reprovacao,Taxa de reprovação,4.90,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2015,Tijucas,Município,4218004,Anos finais,taxa_reprovacao,Taxa de reprovação,10.60,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2015,Tijucas,Município,4218004,Ensino médio,taxa_reprovacao,Taxa de reprovação,12.20,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2015,Tijucas,Município,4218004,Ensino fundamental,taxa_abandono,Taxa de abandono,0.80,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2015,Tijucas,Município,4218004,Anos iniciais,taxa_abandono,Taxa de abandono,0.30,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2015,Tijucas,Município,4218004,Anos finais,taxa_abandono,Taxa de abandono,1.40,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2015,Tijucas,Município,4218004,Ensino médio,taxa_abandono,Taxa de abandono,8.40,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
2016,Tijucas,Município,4218004,Ensino fundamental,taxa_aprovacao,Taxa de aprovação,92.30,%,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa."
