codigo_municipio;municipio_gestor;ano_mes_atendimento;ano;mes;qtd_aprovada
420000;Santa Catarina - Gestão estadual;2008-01-01;2008;01;2856277
420000;Santa Catarina - Gestão estadual;2008-02-01;2008;02;2969104
420000;Santa Catarina - Gestão estadual;2008-03-01;2008;03;3184803
420000;Santa Catarina - Gestão estadual;2008-04-01;2008;04;3208723
420000;Santa Catarina - Gestão estadual;2008-05-01;2008;05;3227315
420000;Santa Catarina - Gestão estadual;2008-06-01;2008;06;3591355
420000;Santa Catarina - Gestão estadual;2008-07-01;2008;07;3514215
420000;Santa Catarina - Gestão estadual;2008-08-01;2008;08;3593584
420000;Santa Catarina - Gestão estadual;2008-09-01;2008;09;3534628
420000;Santa Catarina - Gestão estadual;2008-10-01;2008;10;3599727
420000;Santa Catarina - Gestão estadual;2008-11-01;2008;11;3597556
420000;Santa Catarina - Gestão estadual;2008-12-01;2008;12;3614309
420000;Santa Catarina - Gestão estadual;2009-01-01;2009;01;3366118
420000;Santa Catarina - Gestão estadual;2009-02-01;2009;02;3552244
420000;Santa Catarina - Gestão estadual;2009-03-01;2009;03;3635311
420000;Santa Catarina - Gestão estadual;2009-04-01;2009;04;3277813
420000;Santa Catarina - Gestão estadual;2009-05-01;2009;05;3740713
420000;Santa Catarina - Gestão estadual;2009-06-01;2009;06;3743569
420000;Santa Catarina - Gestão estadual;2009-07-01;2009;07;4074458
420000;Santa Catarina - Gestão estadual;2009-08-01;2009;08;4178573
420000;Santa Catarina - Gestão estadual;2009-09-01;2009;09;3981404
420000;Santa Catarina - Gestão estadual;2009-10-01;2009;10;4240416
420000;Santa Catarina - Gestão estadual;2009-11-01;2009;11;3550151
420000;Santa Catarina - Gestão estadual;2009-12-01;2009;12;3885726
420000;Santa Catarina - Gestão estadual;2010-01-01;2010;01;3732427
420000;Santa Catarina - Gestão estadual;2010-02-01;2010;02;4341325
420000;Santa Catarina - Gestão estadual;2010-03-01;2010;03;3857926
420000;Santa Catarina - Gestão estadual;2010-04-01;2010;04;2180616
420000;Santa Catarina - Gestão estadual;2010-05-01;2010;05;4571890
420000;Santa Catarina - Gestão estadual;2010-06-01;2010;06;4045612
420000;Santa Catarina - Gestão estadual;2010-07-01;2010;07;4000356
