anexo_padronizado,coluna,cod_conta,conta,linhas,municipios,anos,primeiro_ano,ultimo_ano
Anexo I-AB,31/12/2013,AdiantamentosConcedidos,36 - Adiantamentos Concedidos,4,4,1,2013,2013
Anexo I-AB,31/12/2013,AdiantamentosRecebidosOutros,21 - Adiantamentos Recebidos,2,2,1,2013,2013
Anexo I-AB,31/12/2013,Aliquidar,19 - A Liquidar,177,177,1,2013,2013
Anexo I-AB,31/12/2013,AmortizacaoAcumulada,83 - ( * ) Amortização Acumulada,1,1,1,2013,2013
Anexo I-AB,31/12/2013,AplicacoesFinanceirasQDCC,7 - Aplicações Financeiras = ( 8+9+10+11),165,165,1,2013,2013
Anexo I-AB,31/12/2013,Ativo,1 - ATIVO = (84+85),293,293,1,2013,2013
Anexo I-AB,31/12/2013,AtivoCompensado,85 - ATIVO COMPENSADO = (86+87+88+89)),278,278,1,2013,2013
Anexo I-AB,31/12/2013,AtivoFinanceiroALongoPrazo,27 - ATIVO FINANCEIRO A LONGO PRAZO,8,8,1,2013,2013
Anexo I-AB,31/12/2013,AtivoFinanceiroQDCC,2 - ATIVO FINANCEIRO = (3+14+19+20+27),293,293,1,2013,2013
Anexo I-AB,31/12/2013,AtivoNaoFinanceiroQDCC,28 - ATIVO NÃO FINANCEIRO = (29+45+48+50+62),292,292,1,2013,2013
Anexo I-AB,31/12/2013,AtivoReal,84 - ATIVO REAL = (2+28),293,293,1,2013,2013
Anexo I-AB,31/12/2013,BancosContaMovimento,6 - Bancos c/ Movimento,291,291,1,2013,2013
Anexo I-AB,31/12/2013,BensEValoresEmCirculacao,40 - Bens e Valores em Circulação = (41+42+43-44),44,44,1,2013,2013
Anexo I-AB,31/12/2013,BensImoveis,72 - Bens Imóveis = (73+74+75),293,293,1,2013,2013
Anexo I-AB,31/12/2013,BensIntangiveis,79 - Bens Intangíveis,26,26,1,2013,2013
Anexo I-AB,31/12/2013,BensMoveis,69 - Bens Móveis = (70+71),293,293,1,2013,2013
Anexo I-AB,31/12/2013,Caixa,5 - Caixa,48,48,1,2013,2013
Anexo I-AB,31/12/2013,Consignacoes,4 - Consignações,207,207,1,2013,2013
Anexo I-AB,31/12/2013,ConveniosAPagar,10 - Convênios a Pagar,7,7,1,2013,2013
Anexo I-AB,31/12/2013,ConveniosEContratosAtivo,88 - Convênios e Contratos,32,32,1,2013,2013
Anexo I-AB,31/12/2013,CreditosAReceberALongoPrazoOutros,59 - Créditos a Receber - Longo Prazo,123,123,1,2013,2013
Anexo I-AB,31/12/2013,CreditosAReceberEmCirculacao,15 - Créditos a Receber - Em Circulação,124,124,1,2013,2013
Anexo I-AB,31/12/2013,CreditosEmCirculacao,14 - CRÉDITOS EM CIRCULAÇÃO - Disponível = (15+16+17+18),159,159,1,2013,2013
