base,tabela,coluna,cd_conta,nm_conta,identificador_conta,conta
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.0.00.00.00,Despesas Correntes,siconfi-cor_DO3.0.00.00.00.00,3.0.00.00.00 - Despesas Correntes
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.00.00.00,Pessoal e Encargos Sociais,siconfi-cor_DO3.1.00.00.00.00,3.1.00.00.00 - Pessoal e Encargos Sociais
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.20.00.00,Transferências à União,siconfi-cor_DO3.1.20.00.00.00,3.1.20.00.00 - Transferências à União
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.22.00.00,Execução orçamentária delegada à União,siconfi-cor_DO3.1.22.00.00.00,3.1.22.00.00 - Execução orçamentária delegada à União
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.30.00.00,Transferências a Estados e ao Distrito Federal,siconfi-cor_DO3.1.30.00.00.00,3.1.30.00.00 - Transferências a Estados e ao Distrito Federal
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.32.00.00,Execução orçamentária delegada a Estados e ao Distrito Federal,siconfi-cor_DO3.1.32.00.00.00,3.1.32.00.00 - Execução orçamentária delegada a Estados e ao Distrito Federal
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.35.00.00,"Transferências fundo a fundo aos Estados e ao Distrito Federal à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar nº 141, de 2012 - Restos a Pagar Cancelados",siconfi-cor_DO3.1.35.00.00.00,"3.1.35.00.00 - Transferências fundo a fundo aos Estados e ao Distrito Federal à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar nº 141, de 2012 - Restos a Pagar Cancelados"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.40.00.00,Transferências a Municípios,siconfi-cor_DO3.1.40.00.00.00,3.1.40.00.00 - Transferências a Municípios
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.41.00.00,Transferências a Municípios - fundo a fundo,siconfi-cor_DO3.1.41.00.00.00,3.1.41.00.00 - Transferências a Municípios - fundo a fundo
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.42.00.00,Execução orçamentária delegada a Municípios,siconfi-cor_DO3.1.42.00.00.00,3.1.42.00.00 - Execução orçamentária delegada a Municípios
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.50.00.00,Transferências a Instituições Privadas Sem Fins Lucrativos,siconfi-cor_DO3.1.50.00.00.00,3.1.50.00.00 - Transferências a Instituições Privadas Sem Fins Lucrativos
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.70.00.00,Transferência a instituições multigovernamentais,siconfi-cor_DO3.1.70.00.00.00,3.1.70.00.00 - Transferência a instituições multigovernamentais
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.71.00.00,Transferências a Consórcios Públicos mediante contrato de rateio,siconfi-cor_DO3.1.71.00.00.00,3.1.71.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.72.00.00,Execução orçamentária delegada a Consórcios Públicos,siconfi-cor_DO3.1.72.00.00.00,3.1.72.00.00 - Execução orçamentária delegada a Consórcios Públicos
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.73.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar Nº 141, de 2012",siconfi-cor_DO3.1.73.00.00.00,"3.1.73.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que tratam os §§ 1º e 2º do art. 24 da Lei Complementar Nº 141, de 2012"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.74.00.00,"Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que trata o art. 25 da Lei Complementar Nº 141, de 2012",siconfi-cor_DO3.1.74.00.00.00,"3.1.74.00.00 - Transferências a Consórcios Públicos mediante contrato de rateio à conta de recursos de que trata o art. 25 da Lei Complementar Nº 141, de 2012"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.80.00.00,Transferências ao Exterior,siconfi-cor_DO3.1.80.00.00.00,3.1.80.00.00 - Transferências ao Exterior
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.00.00,Aplicações Diretas,siconfi-cor_DO3.1.90.00.00.00,3.1.90.00.00 - Aplicações Diretas
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.01.00,"Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares",siconfi-cor_DO3.1.90.01.00.00,"3.1.90.01.00 - Aposentadorias do RPPS, Reserva Remunerada e Reformas dos Militares"
despesas_2025,Despesas Orçamentárias (Anexo I-D),Despesas Empenhadas,3.1.90.03.00,Pensões do RPPS e do Militar,siconfi-cor_DO3.1.90.03.00.00,3.1.90.03.00 - Pensões do RPPS e do Militar
