base,coluna_medida,contas_distintas,identificadores_distintos,linhas
despesas_2025,Despesas Empenhadas,276,276,244764
despesas_2025,Despesas Liquidadas,275,275,244256
despesas_2025,Despesas Pagas,275,275,243814
despesas_2025,Inscrição de Restos a Pagar Não Processados,340,340,83603
despesas_2025,Inscrição de Restos a Pagar Processados,343,343,109882
despesas_por_funcao_2025,Despesas Empenhadas,193,1,264279
despesas_por_funcao_2025,Despesas Liquidadas,193,1,263604
despesas_por_funcao_2025,Despesas Pagas,193,1,263156
despesas_por_funcao_2025,Inscrição de Restos a Pagar Não Processados,189,1,125306
despesas_por_funcao_2025,Inscrição de Restos a Pagar Processados,189,1,147853
receitas_2025,Deduções - FUNDEB,164,164,73437
receitas_2025,Deduções - Transferências Constitucionais,103,103,775
receitas_2025,Outras Deduções da Receita,394,394,50588
receitas_2025,Receitas Brutas Realizadas,706,706,560265
