ano,escolas_total_base_infraestrutura,perc_escolas_agua_potavel,perc_escolas_agua_rede_publica,perc_escolas_energia_rede_publica,perc_escolas_esgoto_rede_publica,perc_escolas_banheiro,perc_escolas_cozinha,perc_escolas_refeitorio,perc_escolas_biblioteca_ou_sala_leitura,perc_escolas_laboratorio_informatica,perc_escolas_laboratorio_ciencias,perc_escolas_quadra_esportes,perc_escolas_parque_infantil,perc_escolas_patio_coberto,perc_escolas_patio_descoberto
2014,36,0.00,100.00,100.00,61.11,0.00,97.22,47.22,47.22,47.22,2.78,44.44,44.44,44.44,66.67
2015,36,0.00,100.00,100.00,63.89,0.00,100.00,50.00,52.78,55.56,2.78,47.22,44.44,50.00,69.44
2016,35,0.00,100.00,100.00,60.00,0.00,97.14,51.43,57.14,51.43,5.71,42.86,48.57,48.57,68.57
2017,36,0.00,97.22,100.00,52.78,0.00,91.67,52.78,50.00,33.33,8.33,44.44,47.22,41.67,69.44
2018,36,0.00,97.22,100.00,50.00,0.00,100.00,63.89,58.33,25.00,8.33,41.67,50.00,41.67,75.00
2019,37,100.00,97.30,100.00,64.86,100.00,100.00,62.16,48.65,21.62,5.41,43.24,51.35,40.54,78.38
2020,39,100.00,97.44,100.00,66.67,100.00,97.44,69.23,43.59,28.21,17.95,51.28,48.72,38.46,76.92
2021,37,100.00,97.30,100.00,67.57,100.00,91.89,75.68,40.54,27.03,10.81,43.24,40.54,35.14,72.97
2022,38,100.00,97.37,100.00,71.05,100.00,97.37,73.68,39.47,21.05,15.79,39.47,50.00,34.21,71.05
2023,39,100.00,97.44,100.00,58.97,94.87,94.87,64.10,43.59,23.08,17.95,38.46,48.72,35.90,64.10
2024,41,100.00,97.56,100.00,65.85,100.00,92.68,80.49,48.78,24.39,17.07,34.15,63.41,36.59,68.29
2025,40,100.00,97.50,100.00,62.50,100.00,95.00,87.50,50.00,22.50,17.50,42.50,60.00,50.00,72.50
