CD_SETOR,NM_UF,NM_MUN,nm_mesorregiao,SITUACAO,AREA_KM2,V06004,V06002,populacao_cidade,moradores_km2,obras_proximidade,area_total_sum,cno,ni_responsavel,nome_empresarial,ano_inicio,meses_inicio,ano_registro,nome_municipio,bairro,logradouro,categoria,destinacao,tipo_obra
421800405000001,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.313029358874721,3994,417,51215,1332,6,4803,512401623170,27645150000109.0,FLEAR ADMINISTRADORA DE BENS PROPRIOS LTDA,2017-01-01,106,2023,TIJUCAS,CENTRO,JACOB LAMEU TAVARES,Obra Nova,Galpão industrial,Alvenaria
421800405000003,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,1.448765410076047,2230,694,51215,479,2,3624,600309764077,16562527000140.0,JUNTTA EMPREENDIMENTOS LTDA,2020-01-01,74,2025,TIJUCAS,XV DE NOVEMBRO,PEDRO EULALIO ANDRIANI,Obra Nova,Galpão industrial,Alvenaria
421800405000006,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.245673872304712,2704,947,51215,3854,2,752,900084698960,Pessoa fisica,Pessoa fisica,2020-01-01,66,2021,TIJUCAS,CENTRO,DO GOVERNO,Obra Nova,Residencial unifamiliar,Alvenaria
421800405000008,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.568705793842201,3887,1550,51215,2725,1,1987,900248123376,50650826000174.0,TREZZATO INCORPORADORA LTDA,2025-01-01,8,2025,TIJUCAS,CENTRO,MINERVINO MIGUEL FERREIRA,Obra Nova,Residencial multifamiliar,Alvenaria
421800405000016,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.393083305324838,3019,1170,51215,2976,6,27513,600096913678,9562234000105.0,VITALCORP CONSTRUTORA E INCORPORADORA LTDA,2021-01-01,60,2021,TIJUCAS,JOAIA,GALLOTTI,Obra Nova,Residencial multifamiliar,Alvenaria
421800405000017,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,1.471971723957978,2886,545,51215,370,0,0,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
421800405000018,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,9.689051213857756,2166,250,51215,25,3,11862,900119253470,28823059000107.0,M&B ADMINISTRADORA DE BENS LTDA,2022-01-01,44,2022,TIJUCAS,SUL DO RIO,JOSE LARANJEIRAS,Obra Nova,Comercial salas e lojas,Mista
421800405000019,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.262766164000939,3531,629,51215,2393,5,4199,900066389478,24504598000114.0,STOP FIRE  PROJETOS E SOLUCOES CONTRA INCENDIO LTDA,2021-01-01,59,2021,TIJUCAS,CENTRO,BUCHELLE,Reforma,Comercial salas e lojas,Alvenaria
421800405000023,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.258343317809006,1991,1513,51215,5856,1,150,600229236370,82702556000194.0,CONGREGACAO CRISTA NO BRASIL,2016-01-01,116,2021,TIJUCAS,PRACA,AUGUSTO BAYER,Obra Nova,Galpão industrial,Alvenaria
421800405000028,Santa Catarina,Tijucas,Grande Florianópolis,Rural,27.63227357563456,2488,321,51215,11,0,0,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados,Sem dados
421800405000030,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.220510549623251,3606,1119,51215,5074,1,2291,900243333972,45753501000187.0,LA VIE INCORPORADORA E CONSTRUTORA LTDA,2025-01-01,13,2025,TIJUCAS,AREIAS,ANTONIO GRIPA,Obra Nova,Residencial multifamiliar,Alvenaria
421800405000031,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.295285340073782,4037,670,51215,2268,4,10173,900055502965,Pessoa fisica,Pessoa fisica,2020-01-01,66,2021,TIJUCAS,PRAÇA,JOAO DE BARRO,Obra Nova,Comercial salas e lojas,Alvenaria
421800405000032,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,1.123217380281691,2604,280,51215,249,11,23078,900056437175,26522132000177.0,VIARTH LOTEAMENTOS LTDA,2021-01-01,63,2021,TIJUCAS,PRAÇA,BIGUA,Obra Nova,Galpão industrial,Alvenaria
421800405000035,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.140110348169274,3895,775,51215,5531,1,256,900172493679,38377247000102.0,SEMEAI SKATEPARKS LTDA,2023-01-01,29,2023,TIJUCAS,Universitário,AMAZONAS,Obra Nova,Galpão industrial,Alvenaria
421800405000036,Santa Catarina,Tijucas,Grande Florianópolis,Urbana,0.159586015463451,2725,1016,51215,6366,8,17227,600300386573,1398174000117.0,REFLEXO EMPREENDIMENTOS IMOBILIARIOS LTDA,2015-01-01,134,2023,TIJUCAS,UNIVERSITARIO,JOAO ANTONIO FAGUNDES,Obra Nova,Galpão industrial,Alvenaria
