ano,indicador_codigo,indicador_nome,tema,tijucas,santa_catarina,diferenca_tijucas_sc,unidade,fonte,comparabilidade,grupo_exibicao,observacao_metodologica
2019,perc_escolas_internet,Escolas com internet,Tecnologia e conectividade,91.9,96.1,-4.2,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2019,perc_escolas_refeitorio,Escolas com refeitório,Infraestrutura básica,62.2,71.6,-9.4,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2019,perc_escolas_biblioteca_ou_sala_leitura,Escolas com biblioteca ou sala de leitura,Infraestrutura pedagógica,48.6,56.6,-8.0,%,Censo Escolar/INEP,comparável,comparavel_sc,"Para este indicador, considera-se presença quando existe biblioteca, sala de leitura ou a variável combinada de biblioteca/sala de leitura. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024."
2019,perc_escolas_laboratorio_informatica,Escolas com laboratório de informática,Infraestrutura pedagógica,21.6,41.3,-19.7,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2019,perc_escolas_quadra_esportes,Escolas com quadra de esportes,Infraestrutura pedagógica,43.2,44.2,-1.0,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2019,perc_escolas_banheiro_acessivel,Escolas com banheiro acessível,Acessibilidade,40.5,53.3,-12.8,%,Censo Escolar/INEP,comparável,comparavel_sc,Banheiro acessível foi mantido como proxy de acessibilidade por ser mais simples e estável do que outras medidas mais específicas nesta primeira versão comparativa. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2020,perc_escolas_internet,Escolas com internet,Tecnologia e conectividade,97.4,97.0,0.4,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2020,perc_escolas_refeitorio,Escolas com refeitório,Infraestrutura básica,69.2,72.6,-3.4,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2020,perc_escolas_biblioteca_ou_sala_leitura,Escolas com biblioteca ou sala de leitura,Infraestrutura pedagógica,43.6,56.9,-13.3,%,Censo Escolar/INEP,comparável,comparavel_sc,"Para este indicador, considera-se presença quando existe biblioteca, sala de leitura ou a variável combinada de biblioteca/sala de leitura. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024."
2020,perc_escolas_laboratorio_informatica,Escolas com laboratório de informática,Infraestrutura pedagógica,28.2,41.2,-13.0,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2020,perc_escolas_quadra_esportes,Escolas com quadra de esportes,Infraestrutura pedagógica,51.3,45.3,6.0,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2020,perc_escolas_banheiro_acessivel,Escolas com banheiro acessível,Acessibilidade,51.3,57.6,-6.3,%,Censo Escolar/INEP,comparável,comparavel_sc,Banheiro acessível foi mantido como proxy de acessibilidade por ser mais simples e estável do que outras medidas mais específicas nesta primeira versão comparativa. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2021,perc_escolas_internet,Escolas com internet,Tecnologia e conectividade,100.0,97.9,2.1,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2021,perc_escolas_refeitorio,Escolas com refeitório,Infraestrutura básica,75.7,71.9,3.8,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2021,perc_escolas_biblioteca_ou_sala_leitura,Escolas com biblioteca ou sala de leitura,Infraestrutura pedagógica,40.5,56.5,-16.0,%,Censo Escolar/INEP,comparável,comparavel_sc,"Para este indicador, considera-se presença quando existe biblioteca, sala de leitura ou a variável combinada de biblioteca/sala de leitura. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024."
2021,perc_escolas_laboratorio_informatica,Escolas com laboratório de informática,Infraestrutura pedagógica,27.0,40.1,-13.1,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
2021,perc_escolas_quadra_esportes,Escolas com quadra de esportes,Infraestrutura pedagógica,43.2,44.3,-1.1,%,Censo Escolar/INEP,comparável,comparavel_sc,Indicador incluído no comparativo estadual por apresentar maior estabilidade conceitual na série recente do Censo Escolar. A comparação usa escolas em funcionamento como denominador e foi restrita à série 2019-2024.
