ano,territorio,nivel_territorial,codigo_municipio,localizacao,dependencia,fonte,observacao_metodologica,taxa_aprovacao_fundamental,taxa_aprovacao_anos_iniciais,taxa_aprovacao_anos_finais,taxa_aprovacao_ensino_medio,taxa_reprovacao_fundamental,taxa_reprovacao_anos_iniciais,taxa_reprovacao_anos_finais,taxa_reprovacao_ensino_medio,taxa_abandono_fundamental,taxa_abandono_anos_iniciais,taxa_abandono_anos_finais,taxa_abandono_ensino_medio
2014,Tijucas,Município,4218004,Total,Total,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa.",92.60,96.10,87.60,78.80,6.30,3.50,10.30,13.60,1.10,0.40,2.10,7.60
2015,Tijucas,Município,4218004,Total,Total,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa.",91.90,94.80,88.00,79.40,7.30,4.90,10.60,12.20,0.80,0.30,1.40,8.40
2016,Tijucas,Município,4218004,Total,Total,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa.",92.30,95.50,88.40,79.60,6.50,3.80,9.60,13.20,1.20,0.70,2.00,7.20
2017,Tijucas,Município,4218004,Total,Total,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa.",91.00,95.70,85.60,80.80,7.70,3.90,12.10,9.40,1.30,0.40,2.30,9.80
2018,Tijucas,Município,4218004,Total,Total,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa.",90.30,95.30,84.70,79.50,9.20,4.60,14.30,13.20,0.50,0.10,1.00,7.30
2019,Tijucas,Município,4218004,Total,Total,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa.",89.40,95.30,82.10,76.00,9.20,4.10,15.50,17.40,1.40,0.60,2.40,6.60
2020,Tijucas,Município,4218004,Total,Total,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa.",93.70,97.00,89.50,76.40,5.20,2.50,8.60,14.80,1.10,0.50,1.90,8.80
2021,Tijucas,Município,4218004,Total,Total,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa.",91.80,96.20,86.00,75.50,7.10,3.60,11.60,15.40,1.10,0.20,2.40,9.10
2022,Tijucas,Município,4218004,Total,Total,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa.",90.60,94.70,85.10,77.80,8.80,5.20,13.90,17.90,0.60,0.10,1.00,4.30
2023,Tijucas,Município,4218004,Total,Total,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa.",92.60,95.40,88.70,74.80,7.20,4.50,11.00,17.80,0.20,0.10,0.30,7.40
2024,Tijucas,Município,4218004,Total,Total,INEP/Censo Escolar - Taxas de Rendimento Escolar,"Recorte Total, dependência administrativa Total. Há apenas base municipal carregada no projeto nesta etapa.",92.50,95.60,88.00,79.90,7.40,4.40,11.70,14.60,0.10,0.00,0.30,5.50
