ano,docentes_total,docentes_educacao_infantil,docentes_ensino_fundamental,docentes_fundamental_anos_iniciais,docentes_fundamental_anos_finais,docentes_ensino_medio,turmas_total,turmas_educacao_infantil,turmas_ensino_fundamental,turmas_fundamental_anos_iniciais,turmas_fundamental_anos_finais,turmas_ensino_medio,matriculas_por_turma_aproximado,matriculas_por_docente_aproximado
2014,555,188,288,150,159,91,374,95,203,120,83,48,22.3663,15.0721
2015,598,207,325,174,178,99,377,96,206,122,84,42,23.0716,14.5452
2016,646,197,366,200,206,107,504,101,210,115,95,45,17.4940,13.6486
2017,635,198,354,200,181,104,670,153,228,132,96,44,13.9030,14.6693
2018,677,219,346,192,189,122,742,201,227,130,97,49,13.3208,14.5997
2019,686,208,350,198,185,150,690,216,227,131,96,50,15.2420,15.3309
2020,739,249,375,218,195,153,682,214,240,139,101,49,15.8475,14.6252
2021,1170,204,649,286,398,392,658,145,240,144,96,57,16.6824,9.3821
2022,725,222,389,237,192,140,720,189,257,161,96,60,16.8333,16.7172
2023,792,233,427,261,197,153,698,168,273,173,100,62,18.2923,16.1212
2024,839,244,459,270,221,180,686,177,285,179,106,66,19.4636,15.9142
2025,899,257,504,305,241,179,772,250,294,184,110,67,17.9469,15.4116
