ano,matriculas_total_educacao_basica,matriculas_educacao_infantil,matriculas_creche,matriculas_pre_escola,matriculas_ensino_fundamental,matriculas_fundamental_anos_iniciais,matriculas_fundamental_anos_finais,matriculas_ensino_medio,matriculas_eja,matriculas_educacao_especial,matriculas_tempo_integral
2014,8365,1679,833,846,4655,2744,1911,1392,203,117,
2015,8698,1689,842,847,4901,2815,2086,1268,473,129,
2016,8817,1902,959,943,4907,2698,2209,1220,548,118,
2017,9315,1986,971,1015,5175,2770,2405,1202,757,132,
2018,9884,2246,1073,1173,5378,2840,2538,1286,686,152,
2019,10517,2531,1270,1261,5576,3080,2496,1393,696,167,
2020,10808,2584,1280,1304,5899,3286,2613,1499,602,205,
2021,10977,2236,925,1311,6259,3541,2718,1661,602,251,
2022,12120,2958,1410,1548,6762,3912,2850,1775,534,332,
2023,12768,3045,1194,1851,7180,4198,2982,1828,498,435,
2024,13352,3225,1556,1669,7503,4360,3143,1940,474,569,
2025,13855,3269,1611,1658,7950,4592,3358,2028,421,692,663
