ano,bairro,escolas,matriculas_total_educacao_basica,matriculas_educacao_infantil,matriculas_ensino_fundamental,matriculas_ensino_medio
2025,PRAÇA,6,3837,193,2277,1346
2025,CENTRO,14,3569,1892,1062,295
2025,UNIVERSITÁRIO,4,1999,127,1588,149
2025,XV DE NOVEMBRO,3,1674,134,1434,92
2025,JOÁIA,3,911,433,478,0
2025,NOVA DESCOBERTA,3,760,117,497,146
2025,AREIAS,2,547,214,333,0
2025,ITINGA,2,180,0,62,0
2025,TIMBE,1,151,55,96,0
2025,AREA RURAL DE TIJUCAS,2,119,30,89,0
2025,MORRETES,1,50,16,34,0
2025,SUL DO RIO,1,37,37,0,0
2025,PORTO DO ITINGA,1,21,21,0,0
