ano,escolas_funcionamento_total,escolas_municipais,escolas_estaduais,escolas_privadas,escolas_federais,escolas_urbanas,escolas_rurais,escolas_com_educacao_infantil,escolas_com_creche,escolas_com_pre_escola,escolas_com_fundamental,escolas_com_fundamental_anos_iniciais,escolas_com_fundamental_anos_finais,escolas_com_eja,escolas_com_educacao_especial
2014,36,23,5,8,0,27,9,24,11,18,21,21,9,2,21
2015,36,23,5,8,0,27,9,24,11,18,21,21,9,2,23
2016,35,23,5,7,0,27,8,23,13,16,21,20,11,2,27
2017,36,23,6,7,0,27,9,20,11,14,20,20,10,3,25
2018,36,23,6,7,0,28,8,21,12,13,19,19,10,3,28
2019,37,23,6,8,0,29,8,22,13,14,19,19,10,3,30
2020,39,24,6,9,0,30,9,21,13,13,20,20,10,3,28
2021,37,24,6,7,0,28,9,21,13,14,20,20,10,3,32
2022,38,25,6,7,0,29,9,22,14,15,20,20,10,3,33
2023,39,25,6,8,0,30,9,22,14,17,20,20,10,3,33
2024,41,25,6,10,0,32,9,21,15,16,21,21,10,4,37
2025,40,25,5,10,0,31,9,20,14,15,20,20,9,4,35
