ano,perc_escolas_internet,perc_escolas_banda_larga,perc_escolas_internet_alunos,perc_escolas_internet_aprendizagem,perc_escolas_acessibilidade_rampas,perc_escolas_banheiro_acessivel,perc_escolas_salas_acessiveis,perc_escolas_sem_recurso_acessibilidade,total_computadores,total_computadores_alunos
2014,72.22,66.67,0.00,0.00,0.00,25.00,0.00,0.00,555,363
2015,80.56,72.22,0.00,0.00,0.00,30.56,0.00,0.00,531,395
2016,80.00,62.86,0.00,0.00,0.00,31.43,0.00,0.00,483,366
2017,77.78,58.33,0.00,0.00,0.00,36.11,0.00,0.00,432,312
2018,80.56,63.89,0.00,0.00,0.00,36.11,0.00,0.00,426,287
2019,91.89,75.68,21.62,35.14,48.65,40.54,27.03,43.24,0,0
2020,97.44,76.92,30.77,43.59,48.72,51.28,33.33,28.21,0,0
2021,100.00,81.08,40.54,62.16,51.35,48.65,37.84,24.32,0,0
2022,97.37,81.58,57.89,78.95,55.26,55.26,39.47,23.68,,952
2023,100.00,84.62,38.46,56.41,56.41,51.28,35.90,15.38,,938
2024,100.00,85.37,46.34,85.37,53.66,65.85,60.98,17.07,,995
2025,100.00,87.50,32.50,87.50,57.50,70.00,60.00,0.00,,767
