codigo_ibge,codigo_siafi,uf,municipio,ano,valor_fpm_anual,meses_com_dados,rank_sc_maior_fpm
4200051,9939,SC,Abdon Batista,1997,808691.81,12,132
4200101,8001,SC,Abelardo Luz,1997,1617383.64,12,51
4200200,8003,SC,Agrolândia,1997,808691.81,12,132
4200309,8005,SC,Agronômica,1997,808691.81,12,132
4200705,8013,SC,Alfredo Wagner,1997,1078255.76,12,95
4200754,886,SC,Alto Bela Vista,1997,808691.81,12,132
4200804,8015,SC,Anchieta,1997,1347819.73,12,75
4200903,8017,SC,Angelina,1997,808691.81,12,132
4201000,8019,SC,Anita Garibaldi,1997,1078255.76,12,95
4201109,8021,SC,Anitápolis,1997,808691.81,12,132
4201208,8023,SC,Antônio Carlos,1997,808691.81,12,132
4201257,9941,SC,Apiúna,1997,1078255.76,12,95
4201273,5597,SC,Arabutã,1997,808691.81,12,132
4201307,8025,SC,Araquari,1997,1347819.73,12,75
4201406,8027,SC,Araranguá,1997,2965203.36,12,14
4201505,8029,SC,Armazém,1997,808691.81,12,132
4201604,8031,SC,Arroio Trinta,1997,808691.81,12,132
4201653,5599,SC,Arvoredo,1997,808691.81,12,132
4201703,8033,SC,Ascurra,1997,808691.81,12,132
4201802,8035,SC,Atalanta,1997,808691.81,12,132
4201901,8037,SC,Aurora,1997,808691.81,12,132
4201950,888,SC,Balneário Arroio do Silva,1997,808691.81,12,132
4202057,5549,SC,Balneário Barra do Sul,1997,808691.81,12,132
4202008,8039,SC,Balneário Camboriú,1997,2695639.44,12,21
4202073,890,SC,Balneário Gaivota,1997,808691.81,12,132
4212809,8251,SC,Balneário Piçarras,1997,1078255.76,12,95
4202081,892,SC,Bandeirante,1997,808691.81,12,132
4202099,894,SC,Barra Bonita,1997,808691.81,12,132
4202107,8041,SC,Barra Velha,1997,1617383.64,12,51
4202131,896,SC,Bela Vista do Toldo,1997,808691.81,12,132
4202156,5745,SC,Belmonte,1997,808691.81,12,132
4202206,8043,SC,Benedito Novo,1997,1078255.76,12,95
4202305,8045,SC,Biguaçu,1997,2156511.56,12,29
4202404,8047,SC,Blumenau,1997,8280085.75,12,2
4202438,898,SC,Bocaina do Sul,1997,808691.81,12,132
4202503,8389,SC,Bom Jardim da Serra,1997,808691.81,12,132
4202537,900,SC,Bom Jesus,1997,808691.81,12,132
4202578,902,SC,Bom Jesus do Oeste,1997,808691.81,12,132
4202602,8049,SC,Bom Retiro,1997,808691.81,12,132
4202453,5537,SC,Bombinhas,1997,808691.81,12,132
4202701,8051,SC,Botuverá,1997,808691.81,12,132
4202800,8053,SC,Braço do Norte,1997,1617383.64,12,51
4202859,5557,SC,Braço do Trombudo,1997,808691.81,12,132
4202875,904,SC,Brunópolis,1997,808691.81,12,132
4202909,8055,SC,Brusque,1997,2965203.36,12,14
4203105,8059,SC,Caibi,1997,1078255.76,12,95
4203154,5553,SC,Calmon,1997,808691.81,12,132
4203204,8061,SC,Camboriú,1997,1886947.59,12,38
4203303,8063,SC,Campo Alegre,1997,1078255.76,12,95
4203402,8065,SC,Campo Belo do Sul,1997,1617383.64,12,51
4203501,8067,SC,Campo Erê,1997,2156511.56,12,29
4203600,8069,SC,Campos Novos,1997,2695639.44,12,21
4203709,8071,SC,Canelinha,1997,808691.81,12,132
4203808,8073,SC,Canoinhas,1997,3234767.33,12,13
4203907,8075,SC,Capinzal,1997,1347819.73,12,75
4203956,5545,SC,Capivari de Baixo,1997,1347819.73,12,75
4203253,906,SC,Capão Alto,1997,808691.81,12,132
4204004,8077,SC,Catanduvas,1997,1347819.73,12,75
4204103,8079,SC,Caxambu do Sul,1997,1078255.76,12,95
4203006,8057,SC,Caçador,1997,2965203.36,12,14
4204152,9943,SC,Celso Ramos,1997,808691.81,12,132
4204178,5567,SC,Cerro Negro,1997,808691.81,12,132
4204194,908,SC,Chapadão do Lageado,1997,808691.81,12,132
4204202,8081,SC,Chapecó,1997,4582587.1,12,7
4204251,5543,SC,Cocal do Sul,1997,1078255.76,12,95
4204301,8083,SC,Concórdia,1997,3504331.29,12,10
4204350,5579,SC,Cordilheira Alta,1997,808691.81,12,132
4204400,8085,SC,Coronel Freitas,1997,1347819.73,12,75
4204459,5735,SC,Coronel Martins,1997,808691.81,12,132
4204558,8395,SC,Correia Pinto,1997,1617383.64,12,51
4204509,8087,SC,Corupá,1997,1078255.76,12,95
4204608,8089,SC,Criciúma,1997,8280085.75,12,2
4204707,8091,SC,Cunha Porã,1997,1078255.76,12,95
4204756,910,SC,Cunhataí,1997,808691.81,12,132
4204806,8093,SC,Curitibanos,1997,2695639.44,12,21
4204905,8095,SC,Descanso,1997,1886947.59,12,38
4205001,8097,SC,Dionísio Cerqueira,1997,1617383.64,12,51
4205100,8099,SC,Dona Emma,1997,808691.81,12,132
4205159,9945,SC,Doutor Pedrinho,1997,808691.81,12,132
4205175,912,SC,Entre Rios,1997,808691.81,12,132
4205191,914,SC,Ermo,1997,808691.81,12,132
4205209,8101,SC,Erval Velho,1997,808691.81,12,132
4205308,8103,SC,Faxinal dos Guedes,1997,1078255.76,12,95
4205357,916,SC,Flor do Sertão,1997,808691.81,12,132
4205407,8105,SC,Florianópolis,1997,15663752.45,12,1
4205431,5581,SC,Formosa do Sul,1997,808691.81,12,132
4205456,973,SC,Forquilhinha,1997,1347819.73,12,75
4205506,8107,SC,Fraiburgo,1997,1886947.59,12,38
4205555,918,SC,Frei Rogério,1997,808691.81,12,132
4205605,8109,SC,Galvão,1997,808691.81,12,132
4205704,8113,SC,Garopaba,1997,1347819.73,12,75
4205803,8115,SC,Garuva,1997,808691.81,12,132
4205902,8117,SC,Gaspar,1997,2156511.56,12,29
4206009,8111,SC,Governador Celso Ramos,1997,1078255.76,12,95
