data,periodo,saldoSc,saldoTijucas
2024-04-01,abr/24,13921,251
2024-05-01,mai/24,4935,223
2024-06-01,jun/24,10659,135
2024-07-01,jul/24,12464,183
2024-08-01,ago/24,8342,77
2024-09-01,set/24,13473,18
2024-10-01,out/24,10223,77
2024-11-01,nov/24,8935,-52
2024-12-01,dez/24,-43301,-369
2025-01-01,jan/25,23784,201
2025-02-01,fev/25,30528,469
2025-03-01,mar/25,10563,138
2025-04-01,abr/25,9145,275
2025-05-01,mai/25,-223,73
2025-06-01,jun/25,6311,194
2025-07-01,jul/25,3190,-53
2025-08-01,ago/25,791,37
2025-09-01,set/25,11371,218
2025-10-01,out/25,6810,156
2025-11-01,nov/25,5134,-4
2025-12-01,dez/25,-48538,-392
2026-01-01,jan/26,19892,116
2026-02-01,fev/26,22636,266
2026-03-01,mar/26,16868,71
