data_referencia,ano,mes,familias_beneficiarias,valor_total_repassado,valor_medio_beneficio
2004-01-01,2004,01,57389,3915545.0,68.23
2004-02-01,2004,02,57389,3915545.0,68.23
2004-03-01,2004,03,57388,3915455.0,68.23
2004-04-01,2004,04,57620,3900820.0,67.7
2004-05-01,2004,05,58637,3948375.0,67.34
2004-06-01,2004,06,58676,3945965.0,67.25
2004-07-01,2004,07,64673,4267765.0,65.99
2004-08-01,2004,08,66231,4337980.0,65.5
2004-09-01,2004,09,72595,4709560.0,64.87
2004-10-01,2004,10,76231,4844712.0,63.55
2004-11-01,2004,11,90548,5444178.0,60.12
2004-12-01,2004,12,101247,6188142.0,61.12
2005-01-01,2005,01,101387,6073252.0,59.9
2005-02-01,2005,02,101106,6056594.0,59.9
2005-03-01,2005,03,100880,6044969.0,59.92
2005-04-01,2005,04,102842,6123607.0,59.54
2005-05-01,2005,05,107423,6420991.0,59.77
2005-06-01,2005,06,107069,6405315.0,59.82
2005-07-01,2005,07,114000,6748240.0,59.2
2005-08-01,2005,08,118712,7053019.0,59.41
2005-09-01,2005,09,120154,7121569.0,59.27
2005-10-01,2005,10,126757,7452527.0,58.79
2005-11-01,2005,11,126062,7364559.0,58.42
2005-12-01,2005,12,141744,8105341.0,57.18
2006-01-01,2006,01,138247,7728358.0,55.9
2006-02-01,2006,02,137421,7639022.0,55.59
2006-03-01,2006,03,136090,7548457.0,55.47
2006-04-01,2006,04,136334,7561002.0,55.46
2006-05-01,2006,05,132191,7279344.0,55.07
2006-06-01,2006,06,144513,7946720.0,54.99
2006-07-01,2006,07,140720,7789631.0,55.36
2006-08-01,2006,08,143103,7917681.0,55.33
2006-09-01,2006,09,141047,7823705.0,55.47
2006-10-01,2006,10,140944,7829198.0,55.55
2006-11-01,2006,11,141571,7886584.0,55.71
2006-12-01,2006,12,139098,7836577.0,56.34
2007-01-01,2007,01,138794,7898807.0,56.91
2007-02-01,2007,02,140137,7946532.0,56.71
2007-03-01,2007,03,140058,7936167.0,56.66
2007-04-01,2007,04,139387,7898832.0,56.67
2007-05-01,2007,05,139289,7895719.0,56.69
2007-06-01,2007,06,133153,7591328.0,57.01
2007-07-01,2007,07,136378,7738798.0,56.75
2007-08-01,2007,08,137391,9165691.0,66.71
2007-09-01,2007,09,136634,9075900.0,66.42
2007-10-01,2007,10,135539,9022568.0,66.57
2007-11-01,2007,11,133723,8911207.0,66.64
2007-12-01,2007,12,134704,8997048.0,66.79
2008-01-01,2008,01,134366,8977861.0,66.82
2008-02-01,2008,02,134120,8949215.0,66.73
2008-03-01,2008,03,128711,8868175.0,68.9
2008-04-01,2008,04,128776,8893881.0,69.06
2008-05-01,2008,05,130355,9026546.0,69.25
2008-06-01,2008,06,129058,8932815.0,69.22
2008-07-01,2008,07,126944,9524101.0,75.03
2008-08-01,2008,08,126048,9454923.0,75.01
2008-09-01,2008,09,123382,9461108.0,76.68
2008-10-01,2008,10,119831,9091364.0,75.87
2008-11-01,2008,11,119051,9104277.0,76.47
2008-12-01,2008,12,118648,9109980.0,76.78
2009-01-01,2009,01,135632,9989558.0,73.65
2009-02-01,2009,02,132333,9863490.0,74.54
2009-03-01,2009,03,133813,10014291.0,74.84
2009-04-01,2009,04,133898,9973541.0,74.49
2009-05-01,2009,05,131546,9906585.0,75.31
2009-06-01,2009,06,129103,10113210.0,78.33
2009-07-01,2009,07,131545,10110120.0,76.86
2009-08-01,2009,08,144224,10892903.0,75.53
2009-09-01,2009,09,147203,12116356.0,82.31
2009-10-01,2009,10,154326,12551406.0,81.33
2009-11-01,2009,11,153709,12485497.0,81.23
2009-12-01,2009,12,150685,12360725.0,82.03
2010-01-01,2010,01,150666,12004644.0,79.68
2010-02-01,2010,02,147431,11754684.0,79.73
2010-03-01,2010,03,147011,11813575.0,80.36
2010-04-01,2010,04,147834,11917848.0,80.62
2010-05-01,2010,05,145861,11852065.0,81.26
2010-06-01,2010,06,150161,12253907.0,81.61
2010-07-01,2010,07,148272,12184949.0,82.18
2010-08-01,2010,08,148757,12337490.0,82.94
2010-09-01,2010,09,149219,12708984.0,85.17
2010-10-01,2010,10,144852,12973908.0,89.57
2010-11-01,2010,11,144973,12405885.0,85.57
2010-12-01,2010,12,143700,12396219.0,86.26
2011-01-01,2011,01,142704,11954453.0,83.77
2011-02-01,2011,02,142368,12042804.0,84.59
2011-03-01,2011,03,141843,11990882.0,84.54
2011-04-01,2011,04,142076,14861094.0,104.6
2011-05-01,2011,05,139517,14677672.0,105.2
2011-06-01,2011,06,138220,14607254.0,105.68
2011-07-01,2011,07,139086,14709668.0,105.76
2011-08-01,2011,08,136114,14760232.0,108.44
2011-09-01,2011,09,140066,15916446.0,113.64
2011-10-01,2011,10,139902,15899192.0,113.65
2011-11-01,2011,11,140571,16139932.0,114.82
2011-12-01,2011,12,140961,16264574.0,115.38
2012-01-01,2012,01,139787,15790664.0,112.96
2012-02-01,2012,02,140837,15976506.0,113.44
2012-03-01,2012,03,139509,16016836.0,114.81
2012-04-01,2012,04,139806,16542216.0,118.32
2012-05-01,2012,05,138388,16502566.0,119.25
2012-06-01,2012,06,137033,17811532.0,129.98
2012-07-01,2012,07,140408,18358058.0,130.75
2012-08-01,2012,08,144775,19062926.0,131.67
2012-09-01,2012,09,143218,19038964.0,132.94
2012-10-01,2012,10,144068,19220840.0,133.42
2012-11-01,2012,11,145736,19344736.0,132.74
2012-12-01,2012,12,147043,20315814.0,138.16
2013-01-01,2013,01,146039,19734458.0,135.13
2013-02-01,2013,02,140775,19269332.0,136.88
2013-03-01,2013,03,146460,20364126.0,139.04
2013-04-01,2013,04,141867,19781232.0,139.44
2013-05-01,2013,05,144427,20223606.0,140.03
2013-06-01,2013,06,142405,20121034.0,141.29
2013-07-01,2013,07,143528,20278566.0,141.29
2013-08-01,2013,08,140994,20022612.0,142.01
2013-09-01,2013,09,141210,19990898.0,141.57
2013-10-01,2013,10,140474,19881824.0,141.53
2013-11-01,2013,11,141137,19849500.0,140.64
2013-12-01,2013,12,144651,20247140.0,139.97
2014-01-01,2014,01,143467,19681462.0,137.18
2014-02-01,2014,02,143840,19814822.0,137.76
