 Produção Ambulatorial do SUS - por gestor -  Santa Catarina
Qtd.aprovada por Município gestor e Ano/mês atendimento
Período:Jan/2008-Mar/2026
"Município gestor";"2008/Jan";"2008/Fev";"2008/Mar";"2008/Abr";"2008/Mai";"2008/Jun";"2008/Jul";"2008/Ago";"2008/Set";"2008/Out";"2008/Nov";"2008/Dez";"2009/Jan";"2009/Fev";"2009/Mar";"2009/Abr";"2009/Mai";"2009/Jun";"2009/Jul";"2009/Ago";"2009/Set";"2009/Out";"2009/Nov";"2009/Dez";"2010/Jan";"2010/Fev";"2010/Mar";"2010/Abr";"2010/Mai";"2010/Jun";"2010/Jul";"2010/Ago";"2010/Set";"2010/Out";"2010/Nov";"2010/Dez";"2011/Jan";"2011/Fev";"2011/Mar";"2011/Abr";"2011/Mai";"2011/Jun";"2011/Jul";"2011/Ago";"2011/Set";"2011/Out";"2011/Nov";"2011/Dez";"2012/Jan";"2012/Fev";"2012/Mar";"2012/Abr";"2012/Mai";"2012/Jun";"2012/Jul";"2012/Ago";"2012/Set";"2012/Out";"2012/Nov";"2012/Dez";"2013/Jan";"2013/Fev";"2013/Mar";"2013/Abr";"2013/Mai";"2013/Jun";"2013/Jul";"2013/Ago";"2013/Set";"2013/Out";"2013/Nov";"2013/Dez";"2014/Jan";"2014/Fev";"2014/Mar";"2014/Abr";"2014/Mai";"2014/Jun";"2014/Jul";"2014/Ago";"2014/Set";"2014/Out";"2014/Nov";"2014/Dez";"2015/Jan";"2015/Fev";"2015/Mar";"2015/Abr";"2015/Mai";"2015/Jun";"2015/Jul";"2015/Ago";"2015/Set";"2015/Out";"2015/Nov";"2015/Dez";"2016/Jan";"2016/Fev";"2016/Mar";"2016/Abr";"2016/Mai";"2016/Jun";"2016/Jul";"2016/Ago";"2016/Set";"2016/Out";"2016/Nov";"2016/Dez";"2017/Jan";"2017/Fev";"2017/Mar";"2017/Abr";"2017/Mai";"2017/Jun";"2017/Jul";"2017/Ago";"2017/Set";"2017/Out";"2017/Nov";"2017/Dez";"2018/Jan";"2018/Fev";"2018/Mar";"2018/Abr";"2018/Mai";"2018/Jun";"2018/Jul";"2018/Ago";"2018/Set";"2018/Out";"2018/Nov";"2018/Dez";"2019/Jan";"2019/Fev";"2019/Mar";"2019/Abr";"2019/Mai";"2019/Jun";"2019/Jul";"2019/Ago";"2019/Set";"2019/Out";"2019/Nov";"2019/Dez";"2020/Jan";"2020/Fev";"2020/Mar";"2020/Abr";"2020/Mai";"2020/Jun";"2020/Jul";"2020/Ago";"2020/Set";"2020/Out";"2020/Nov";"2020/Dez";"2021/Jan";"2021/Fev";"2021/Mar";"2021/Abr";"2021/Mai";"2021/Jun";"2021/Jul";"2021/Ago";"2021/Set";"2021/Out";"2021/Nov";"2021/Dez";"2022/Jan";"2022/Fev";"2022/Mar";"2022/Abr";"2022/Mai";"2022/Jun";"2022/Jul";"2022/Ago";"2022/Set";"2022/Out";"2022/Nov";"2022/Dez";"2023/Jan";"2023/Fev";"2023/Mar";"2023/Abr";"2023/Mai";"2023/Jun";"2023/Jul";"2023/Ago";"2023/Set";"2023/Out";"2023/Nov";"2023/Dez";"2024/Jan";"2024/Fev";"2024/Mar";"2024/Abr";"2024/Mai";"2024/Jun";"2024/Jul";"2024/Ago";"2024/Set";"2024/Out";"2024/Nov";"2024/Dez";"2025/Jan";"2025/Fev";"2025/Mar";"2025/Abr";"2025/Mai";"2025/Jun";"2025/Jul";"2025/Ago";"2025/Set";"2025/Out";"2025/Nov";"2025/Dez";"2026/Jan";"2026/Fev";"2026/Mar";"Total"
"420005 Abdon Batista";1257;-;1940;-;2309;2416;2216;2445;-;2770;1947;1575;1830;2205;2211;2061;1908;3290;3227;2936;2833;2909;2936;1496;1321;2418;2420;3027;3939;168;2925;2787;3375;3174;3259;2270;2386;3075;3161;2570;3438;2632;3676;3649;3842;3801;3091;2881;2834;3026;3312;3523;3606;3984;3778;3828;4024;4220;3646;2387;1867;3725;3583;3035;1955;2924;3419;3556;3157;3217;3292;2560;1393;2943;3188;2966;3449;2801;3029;4107;3899;5699;2718;2831;2003;2613;3392;2055;1958;3028;5663;4214;4274;4501;4739;3503;1815;4865;4836;5449;3935;4363;5334;5683;5286;4315;2149;3942;3309;3475;5530;3707;4970;5046;5593;4982;6470;5982;3346;72;40;61;82;98;67;56;56;42;53;-;26;45;16;15;60;57;59;48;46;47;48;222;27;21;25;243;402;190;178;449;829;622;1454;1534;1623;1347;1469;1221;1443;1649;1682;1550;1801;1867;1649;1732;1701;1688;1937;2001;1917;1845;2607;2391;2839;2955;2670;2338;1779;1474;1115;2035;2739;2569;2865;2773;2647;2938;2800;2331;2366;1656;2036;958;2053;3417;1701;2912;2674;2791;2843;3263;2633;1859;1671;2085;2381;3400;2667;1442;1585;8046;8168;8071;7637;4432;4033;5709;5739;563313
"420010 Abelardo Luz";7102;11594;13764;-;18745;19407;20230;27152;20890;18428;17277;10366;13050;13713;25190;23959;28273;28845;27909;24972;25756;24021;20536;19071;7435;18993;19959;26097;29014;32468;23814;29178;29421;28536;29213;17447;9716;193025;15683;19679;23930;18218;21690;32293;26500;22539;22588;14263;6011;17137;30005;21305;25982;21772;20674;23315;23435;22845;18119;10694;5819;7378;10173;12567;10861;13854;1914;17715;18940;18744;17046;11430;12905;14708;14228;16326;17065;18430;19535;17195;19953;18674;18633;13698;13172;14362;17819;12644;17067;21174;18074;21121;14825;18344;16636;7227;8513;14686;25244;24003;26122;25166;11576;12468;21395;15737;11161;9743;10841;10786;18257;17684;20571;19060;20021;29987;22521;21962;23488;10678;16905;13632;16061;17638;17060;16361;17250;19720;21588;12026;16688;10833;11173;15009;19115;26297;21917;19970;22980;26792;24541;24374;21439;14703;12792;17902;17326;9900;11594;13885;14999;19030;23607;24061;29087;18346;19999;24897;19966;21993;27716;26599;25552;25399;31556;13486;25492;18312;24809;26610;30722;27309;30431;30652;29100;30306;29630;29059;29539;25475;26104;26605;36778;30808;31165;31254;26300;34791;31352;35596;33619;21881;34514;33491;25207;54412;20169;47484;44391;37498;44681;36641;21300;32955;31684;38481;43272;41719;41533;31187;62361;32288;45790;45192;36595;26019;29211;41232;44291;5056230
"420020 Agrolândia";10149;10735;10859;733257;26137;12767;12018;12502;8917;12725;12725;-;6177;6258;6368;7503;6585;7143;6330;6957;6529;6180;6339;6873;6386;6276;7001;6401;6059;6991;7002;10284;-;6900;6653;5634;-;6243;6353;6436;7285;6340;4218;10550;11287;10751;9740;9814;9175;7214;7430;5530;5357;5821;6513;6232;5548;7891;6932;4019;3066;4668;5456;5371;6792;5390;6017;6242;6270;5982;5005;6044;2090;3457;5484;5039;4604;8674;8823;8676;8191;8385;8278;6032;4878;8643;11040;9909;10623;241053;8867;8540;11950;11428;9488;9550;8332;10499;11880;8496;8546;9748;7044;9543;9389;9379;2735;3342;19;736;3208;3186;854;2681;4315;3082;3326;3197;1418;2084;2845;3702;2627;3893;3725;5264;3828;2961;2993;4081;4834;2704;3088;3625;2631;3794;2785;3384;4432;5189;5114;5513;5789;5371;4810;5012;4377;3146;3722;4505;4254;4318;16902;19367;10610;17166;9768;11237;20061;18560;25754;22608;23072;23996;23006;21613;25345;17851;10647;19259;25226;14286;24166;11470;21376;21376;11297;24027;22421;16820;16240;30056;31417;26744;14975;11617;19761;21868;14751;9060;18788;7985;7706;16581;27725;22253;21393;19795;6060;7381;10293;7671;7417;12990;10503;9767;9663;24974;8527;7529;9233;9790;9318;10870;8940;6153;7849;8861;10554;3002004
"420030 Agronômica";14464;4267;2198;-;1932;1398;4091;2896;331;-;-;-;4475;2621;3153;3981;2013;2247;170;2606;2254;3798;3795;-;-;3948;4093;2726;890;2467;4165;3657;-;-;-;2294;1628;1518;4035;4661;2212;2412;3421;3415;3651;1578;1557;1901;631;2008;2729;2416;1555;2109;2532;1719;2554;3962;2983;2753;1383;2463;2911;2777;2176;1754;1899;1092;2285;3452;14;792;1466;2711;3503;3493;3431;3548;4545;3027;4325;3463;3445;2675;2295;3103;3416;3029;5447;676;5398;4239;3947;3863;3810;3159;3548;6309;4820;6237;4444;4245;2737;3076;5050;3019;5617;349;4318;5164;3930;2419;3793;3084;6624;6610;6236;5915;6057;4086;2197;5025;4288;4424;3556;4336;6682;5002;6492;5828;3046;2708;3863;6699;7116;6873;6087;6038;7965;6851;3901;3720;9025;5253;11927;9130;5118;4990;5679;6021;7200;6327;9659;10526;7457;3135;9026;8143;8362;8379;8192;10914;11684;11119;10333;9384;9088;6142;7157;9174;12304;7625;8784;9806;10040;10282;10234;10730;10469;6362;9161;10020;12099;10156;11850;10428;10575;12941;9266;8925;3888;7791;12748;12458;11052;13126;11336;10703;11467;12239;11392;13383;11669;8164;14867;12916;11900;12010;12027;12844;15769;14436;13658;12733;11580;9232;12721;13329;16124;1250429
"420040 Água Doce";-;-;-;-;-;-;-;-;-;-;-;3611;2155;3736;4739;4131;4193;4303;4855;4797;4231;4558;4634;2573;2271;3369;4205;3463;3082;3061;1755;544;4135;3018;3157;2889;2565;3388;4493;5910;3973;3834;2987;147;5163;5957;5134;5860;5795;6022;6224;6271;5715;6743;6003;5720;4885;5549;5255;6063;4392;6573;7214;5604;4215;5756;5969;3517;2967;-;4871;11044;3075;5739;4738;4634;5272;5014;4788;5808;6209;5570;6000;5941;3892;243;2983;68;654;875;447;6865;4940;6444;7326;5285;3776;6392;5772;6765;6928;6129;6039;8303;9115;8587;4371;3100;5224;5897;8457;6326;8227;8476;7744;10540;1488;1529;1714;1662;1578;2239;2381;2431;2154;1849;1844;1840;1527;1359;1561;1466;1613;2387;1856;1878;1650;1520;1770;1449;1905;1674;1371;1396;1297;1234;1283;868;1010;1533;1332;1463;1700;1172;1441;1820;666;1155;1342;1412;1661;2125;1725;2012;5245;5305;8659;4603;5695;5019;7217;4961;5893;4863;6325;7083;6626;6041;8176;5011;5057;5868;6440;5118;5751;5424;6405;6190;5956;5449;7112;6297;5678;6787;6887;7780;6594;7042;6233;7052;8914;9109;7935;6765;6630;6633;7429;8716;7987;6952;8874;4086;3675;3544;3483;2208;1570;1843;2690;916448
"420050 Águas de Chapecó";2832;2599;3924;3724;5018;2730;3462;4508;3490;3842;2807;2189;2340;93;1786;1596;3840;3621;5125;3748;4200;4061;4283;4386;4565;2579;3403;3611;3134;5005;4370;3382;2913;3280;2507;3031;2106;2845;3613;3396;3073;634;2995;2886;3191;3027;1040;1699;1006;2491;2695;3688;3734;35029;5742;6590;4875;6055;5201;4713;2732;2748;4984;16070;9973;22425;7236;6846;7475;4862;5695;1412;693;436;4636;2633;3462;1483;3570;4491;455;904506;6058;4833;5220;3320;5578;4589;4457;1722;4172;3904;3486;204939;3850;6081;11395;7758;5805;8178;7013;4367;5474;4651;3665;3998;5103;2703;3703;1986;6241;4449;3957;3736;3192;8487;10925;1855;1620;2246;1719;1843;1549;1428;1328;1189;292;771;258;1193;1939;-;476;92;141;55;359;513;1310;2394;2498;2489;2467;1168;480;68;151;262;395;429;145;671;2778;1620;1179;686;967;1118;331;969;713;975;1387;1920;3217;2955;2645;1270;1800;2048;5221;2901;2755;6365;33;3512;1632;251;217;1010;3717;3831;4091;1742;3408;3919;3255;3475;2535;5379;1347;1328;3516;4118;4567;4181;3952;5446;6307;1239;2293;4023;3915;1291;4843;7458;8483;5165;4715;4138;7209;5033;4641;4978;3857;2960;-;-;-;1866749
"420055 Águas Frias";-;6668;5467;6368;6593;6555;4092;4129;4381;5385;4717;1969;996;1575;2402;2159;2354;2413;1724;3350;3180;2284;997;668;375;1496;1138;1688;3114;3398;2128;3395;3516;2838;2696;2080;901;1599;1983;1534;1729;1744;1856;2574;2588;2675;2350;2372;847;701;2549;2599;2881;3606;2896;3494;2580;2274;2252;1241;902;898;2253;3442;2229;19;2158;2914;2754;5882;4370;3830;1917;3884;5102;5574;5168;5189;5014;6108;5902;7205;5130;4476;2185;4767;7080;5827;6118;5224;4471;6116;5216;4332;15200;4486;2566;6555;18241;4601;6997;6223;4820;6416;6499;5326;4999;3607;3410;3975;7889;15190;6529;6432;5705;6747;5205;16198;9169;241;1045;1362;2447;2541;2134;1264;1093;1537;1099;1318;1262;626;370;1333;1346;1533;1738;1584;1292;1732;1586;1645;1334;397;792;1608;1120;666;511;1755;2119;1035;1641;1595;1702;260;191;494;740;1951;1857;3266;1733;1998;1985;2017;2195;1179;1451;2075;3405;2166;1960;1957;1912;2640;1966;1632;1329;1013;750;1362;2497;1485;1469;1669;1134;1422;948;870;2855;766;843;991;2859;4503;1842;2343;3178;2614;2039;1677;1277;461;1727;3936;5313;5650;3734;2707;1928;1248;1522;1575;1241;656;4525;5395;7582;669122
"420060 Águas Mornas";-;-;-;-;-;-;-;-;-;-;4472;4474;3891;4697;5379;5415;3260;3546;4318;7034;7185;6634;5458;3339;4191;3765;246019;2906;3454;4735;3624;4738;4130;3440;1124;2337;2737;2871;2407;2520;4430;3581;3598;3353;3181;2705;2485;2203;1794;3592;3515;4168;4401;3983;3843;3514;5089;7259;7090;4509;2595;4323;4057;5668;6172;9996;7073;8792;9170;8315;6162;3806;3924;4101;6290;8218;6128;6070;5933;4502;7006;6703;7864;3615;4476;6093;5277;5956;6581;4322;3812;6402;8391;8067;8354;6734;7091;14102;6905;14344;13466;6175;7732;7633;7395;7940;5961;4132;6210;4592;9153;9617;9157;8387;445;440;445;441;466;479;488;481;466;406;410;410;455;455;411;454;531;484;542;519;850;2993;3830;2750;3198;4147;5755;6015;5765;4929;4557;6097;2891;1620;2940;4410;3556;4998;6624;3418;5804;4327;4508;6145;7133;6047;6539;6275;6128;6880;6810;6338;6595;4742;4790;5144;6526;6253;7029;8073;8079;8626;6703;8534;8385;6832;6521;8059;9640;9111;8323;8981;7912;9723;9724;9318;8398;7423;7188;8526;9580;10558;9551;9899;11230;12446;11034;11912;7282;3368;4962;10997;10828;13130;11606;10824;12022;12898;11987;12664;11149;9543;9305;10218;12568;1453557
"420070 Alfredo Wagner";6546;4932;5933;7182;6867;6467;5995;6939;6857;8382;7249;6712;-;-;-;6519;7528;7048;7418;6818;7104;8368;8290;8694;6676;10240;12327;10033;13190;9929;11343;12638;12878;13538;8772;5594;778;2148;2186;3527;3039;3658;3009;3411;4016;3760;3777;3239;335;393;1008;1312;1263;1491;1101;1591;1665;1780;1475;914;1356;1414;2750;1089;5910;7172;7452;9670;11272;9661;13108;5284;8344;13746;15090;14193;57453;11274;16537;15450;16972;15158;7276;4844;10489;10613;14669;8295;12807;11341;15643;18982;19226;18987;17066;13345;12691;17482;22209;27735;22203;29453;21691;29101;11841;6934;6247;6602;3941;17006;24429;21031;25179;20977;20013;21120;4783;22037;25788;20988;16921;4704;5233;4672;5222;4820;5351;4638;144;6178;4771;4017;4400;4386;4993;5106;4663;4588;5449;229;3271;35;7351;5164;4294;1982;3836;1731;3524;3440;1275;-;-;-;-;-;2019;2962;2846;1988;2935;3224;5323;5316;6009;5421;5247;4068;2665;2650;3228;3258;3615;3448;3770;3898;3462;3365;4474;855;110;3573;4337;3488;4271;3192;3944;4416;144;4045;3455;2735;3820;4390;32;22;3143;3709;3653;4030;4198;4090;3620;3335;3722;4203;7547;8303;8339;9039;9996;8744;9345;9190;8214;5580;8975;5434;9485;1625603
"420075 Alto Bela Vista";718;-;759;1138;-;-;-;-;-;1752;2545;855;852;918;1082;998;1435;897;1566;1503;1798;1217;292;1659;807;1221;1395;1667;1125;-;1715;1507;1804;1895;522;2605;1192;568;1986;2244;2356;2634;1999;2398;2855;3102;3030;2783;1192;2243;2961;2563;2444;2957;2811;2390;2188;3647;2894;2212;1983;1426;965;2211;2265;2951;2681;3279;1462;129674;1817;1304;130529;992;1570;2588;1804;3186;1428;3525;3225;3768;3476;2614;2300;2072;2339;1336;1975;3002;755;3440;3988;3584;1913;522;1839;2618;2804;593;5939;5152;3427;2238;2750;3765;3458;819;849;944;1806;1607;2974;1873;2120;3263;2832;1134;2581;2248;1700;2467;2020;2726;2921;2666;2989;3394;4013;2976;2911;1798;2490;3211;1808;2865;3131;1710;2639;3280;3575;3278;3264;3544;3067;2846;2404;877;1214;1765;2398;2933;2906;3113;3616;3600;2501;2555;1738;2307;3185;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;89;35;5;10;15;14;47;40;256;268;285;236;243;224;326;198;371;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;606543
