tribunal_id,tribunal,municipio_id,codigo_ibge,municipio,ano_ref,pct_iamb,pct_icidade,pct_ieduc,pct_ifiscal,pct_igov_ti,pct_isaude,pct_iplan,pct_iegm_municipio,ind_iamb,ind_icidade,ind_ieduc,ind_ifiscal,ind_igov_ti,ind_isaude,ind_iplan,ind_iegm_municipio,exercicio
22,TCESC,12140,4200051,ABDON BATISTA,2024,"0,38","0,50","0,63","0,59","0,55","0,54","0,28","0,498500",C,C+,B,C+,C+,C+,C,C,2024
22,TCESC,12141,4200101,ABELARDO LUZ,2024,"0,17","0,00","0,43","0,51","0,04","0,60","0,20","0,367000",C,C,C,C+,C,B,C,C,2024
22,TCESC,12142,4200200,AGROLÂNDIA,2024,"0,04","0,47","0,59","0,58","0,57","0,50","0,40","0,470000",C,C,C+,C+,C+,C+,C,C,2024
22,TCESC,12143,4200309,AGRONÔMICA,2024,"0,21","0,30","0,40","0,76","0,22","0,59","0,26","0,449000",C,C,C,B+,C,C+,C,C,2024
22,TCESC,12144,4200408,ÁGUA DOCE,2024,"0,22","0,34","0,43","0,62","0,60","0,54","0,48","0,483000",C,C,C,B,B,C+,C,C,2024
22,TCESC,12145,4200507,ÁGUAS DE CHAPECÓ,2024,"0,22","0,07","0,59","0,70","0,41","0,61","0,20","0,466000",C,C,C+,B,C,B,C,C,2024
22,TCESC,12146,4200556,ÁGUAS FRIAS,2024,"0,38","0,00","0,59","0,49","0,35","0,67","0,24","0,453500",C,C,C+,C,C,B,C,C,2024
22,TCESC,12147,4200606,ÁGUAS MORNAS,2024,"0,00","0,29","0,55","0,63","0,26","0,58","0,26","0,431500",C,C,C+,B,C,C+,C,C,2024
22,TCESC,12148,4200705,ALFREDO WAGNER,2024,"0,00","0,52","0,46","0,51","0,13","0,59","0,10","0,364500",C,C+,C,C+,C,C+,C,C,2024
22,TCESC,12149,4200754,ALTO BELA VISTA,2024,"0,23","0,00","0,36","0,49","0,41","0,63","0,15","0,369500",C,C,C,C,C,B,C,C,2024
22,TCESC,12150,4200804,ANCHIETA,2024,"0,56","0,21","0,42","0,59","0,26","0,59","0,60","0,519500",C+,C,C,C+,C,C+,B,C+,2024
22,TCESC,12151,4200903,ANGELINA,2024,"0,44","0,09","0,16","0,76","0,34","0,49","0,26","0,399500",C,C,C,B+,C,C,C,C,2024
22,TCESC,12152,4201000,ANITA GARIBALDI,2024,"0,29","0,03","0,58","0,49","0,29","0,50","0,05","0,369000",C,C,C+,C,C,C+,C,C,2024
22,TCESC,12153,4201109,ANITÁPOLIS,2024,"0,17","0,37","0,60","0,71","0,15","0,54","0,21","0,455000",C,C,B,B,C,C+,C,C,2024
22,TCESC,12154,4201208,ANTÔNIO CARLOS,2024,"0,30","0,38","0,53","0,67","0,13","0,65","0,43","0,511500",C,C,C+,B,C,B,C,C+,2024
22,TCESC,12155,4201257,APIÚNA,2024,"0,22","0,32","0,59","0,75","0,39","0,72","0,68","0,605500",C,C,C+,B+,C,B,B,B,2024
22,TCESC,12156,4201273,ARABUTÃ,2024,"0,25","0,21","0,69","0,53","0,44","0,71","0,21","0,485500",C,C,B,C+,C,B,C,C,2024
22,TCESC,12157,4201307,ARAQUARI,2024,"0,40","0,00","0,37","0,49","0,45","0,52","0,31","0,400500",C,C,C,C,C,C+,C,C,2024
22,TCESC,12158,4201406,ARARANGUÁ,2024,"0,10","0,49","0,43","0,47","0,49","0,60","0,41","0,441000",C,C,C,C,C,B,C,C,2024
