"Código","Unidade Territorial","UF","Referência","Número de famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Número de famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (até outubro/2021)","Valor total repassado às famílias beneficiárias do Programa Bolsa Família (a partir de março/2023)","Valor médio do benefício do Programa Bolsa Família (até outubro/2021)","Valor médio do benefício do Programa Bolsa Família (a partir de março/2023)"
"420005","ABDON BATISTA","SC","10/2008","194","","15892","","81,92",""
"420005","ABDON BATISTA","SC","07/2011","172","","17744","","103,16",""
"420005","ABDON BATISTA","SC","09/2008","196","","16148,00","","82,39",""
"420005","ABDON BATISTA","SC","10/2006","151","","9313","","61,68",""
"420005","ABDON BATISTA","SC","01/2005","80","","5308","","66,35",""
"420005","ABDON BATISTA","SC","03/2009","194","","15894","","81,93",""
"420005","ABDON BATISTA","SC","01/2010","158","","14359","","90,88",""
"420005","ABDON BATISTA","SC","02/2010","175","","15668,00","","89,53",""
"420005","ABDON BATISTA","SC","07/2007","160","","10068","","62,93",""
"420005","ABDON BATISTA","SC","03/2010","175","","15701","","89,72",""
"420005","ABDON BATISTA","SC","04/2011","174","","18012","","103,52",""
"420005","ABDON BATISTA","SC","10/2010","168","","16322","","97,15",""
"420005","ABDON BATISTA","SC","06/2004","11","","770","","70,00",""
"420005","ABDON BATISTA","SC","11/2010","166","","15326","","92,33",""
"420005","ABDON BATISTA","SC","11/2009","167","","15237","","91,24",""
"420005","ABDON BATISTA","SC","05/2008","195","","14454,00","","74,12",""
"420005","ABDON BATISTA","SC","01/2009","196","","15864","","80,94",""
"420005","ABDON BATISTA","SC","10/2005","94","","5773","","61,41",""
"420005","ABDON BATISTA","SC","04/2004","11","","800","","72,73",""
"420005","ABDON BATISTA","SC","06/2008","198","","14668","","74,08",""
"420005","ABDON BATISTA","SC","11/2005","94","","5773","","61,41",""
"420005","ABDON BATISTA","SC","03/2006","116","","7429","","64,04",""
"420005","ABDON BATISTA","SC","04/2006","120","","7744,00","","64,53",""
"420005","ABDON BATISTA","SC","06/2006","149","","9196","","61,72",""
"420005","ABDON BATISTA","SC","08/2011","171","","17922","","104,81",""
"420005","ABDON BATISTA","SC","10/2009","169","","15393","","91,08",""
"420005","ABDON BATISTA","SC","08/2006","150","","9271,00","","61,81",""
"420005","ABDON BATISTA","SC","02/2007","150","","9478","","63,19",""
"420005","ABDON BATISTA","SC","06/2005","85","","5608","","65,98",""
"420005","ABDON BATISTA","SC","05/2010","175","","15723","","89,85",""
"420005","ABDON BATISTA","SC","05/2004","11","","785","","71,36",""
"420005","ABDON BATISTA","SC","06/2007","161","","10053","","62,44",""
"420005","ABDON BATISTA","SC","02/2009","195","","15934","","81,71",""
"420005","ABDON BATISTA","SC","01/2008","177","","12952","","73,18",""
"420005","ABDON BATISTA","SC","12/2008","193","","15974","","82,77",""
"420005","ABDON BATISTA","SC","01/2006","96","","5734","","59,73",""
"420005","ABDON BATISTA","SC","01/2011","161","","14099","","87,57",""
"420005","ABDON BATISTA","SC","02/2008","180","","13198","","73,32",""
"420005","ABDON BATISTA","SC","11/2006","151","","9313","","61,68",""
"420005","ABDON BATISTA","SC","08/2009","182","","14862","","81,66",""
"420005","ABDON BATISTA","SC","09/2004","46","","3430","","74,57",""
"420005","ABDON BATISTA","SC","08/2008","197","","16058","","81,51",""
"420005","ABDON BATISTA","SC","04/2008","170","","13010","","76,53",""
"420005","ABDON BATISTA","SC","11/2007","177","","12934","","73,07",""
"420005","ABDON BATISTA","SC","07/2010","173","","15686","","90,67",""
"420005","ABDON BATISTA","SC","06/2011","173","","18044","","104,30",""
"420005","ABDON BATISTA","SC","04/2005","80","","5308","","66,35",""
"420005","ABDON BATISTA","SC","08/2010","172","","15708","","91,33",""
"420005","ABDON BATISTA","SC","12/2005","98","","6013","","61,36",""
"420005","ABDON BATISTA","SC","07/2005","94","","5773","","61,41",""
"420005","ABDON BATISTA","SC","10/2007","177","","12934","","73,07",""
"420005","ABDON BATISTA","SC","05/2006","148","","9136,00","","61,73",""
"420005","ABDON BATISTA","SC","07/2008","197","","15914","","80,78",""
"420005","ABDON BATISTA","SC","04/2010","175","","15723,00","","89,85",""
"420005","ABDON BATISTA","SC","09/2009","171","","15514","","90,73",""
"420005","ABDON BATISTA","SC","11/2004","56","","3743","","66,84",""
"420005","ABDON BATISTA","SC","11/2011","173","","18278","","105,65",""
"420005","ABDON BATISTA","SC","02/2006","115","","7379","","64,17",""
"420005","ABDON BATISTA","SC","12/2011","184","","20008,00","","108,74",""
"420005","ABDON BATISTA","SC","09/2005","94","","5773","","61,41",""
"420005","ABDON BATISTA","SC","02/2004","11","","815","","74,09",""
"420005","ABDON BATISTA","SC","05/2009","192","","15670","","81,61",""
"420005","ABDON BATISTA","SC","12/2004","80","","5403","","67,54",""
"420005","ABDON BATISTA","SC","09/2011","175","","18688","","106,79",""
"420005","ABDON BATISTA","SC","10/2011","173","","18170","","105,03",""
"420005","ABDON BATISTA","SC","03/2008","150","","11764","","78,43",""
"420005","ABDON BATISTA","SC","12/2006","146","","9038","","61,90",""
"420005","ABDON BATISTA","SC","11/2008","193","","15922","","82,50",""
"420005","ABDON BATISTA","SC","07/2009","185","","15098","","81,61",""
"420005","ABDON BATISTA","SC","09/2010","172","","15774","","91,71",""
