dt_data_competencia,nm_adm_desl,cd_uf,nm_uf,cd_divisao,nm_grupo,nm_divisao,saldo_total
2023-08-01,Desligado,42,Santa Catarina,02,Atividades de apoio à produção florestal,Produção florestal,1.0
2023-08-01,Admitido,42,Santa Catarina,1,Produção de lavouras permanentes,"Agricultura, pecuária e serviços relacionados",546.0
2023-08-01,Admitido,42,Santa Catarina,1,Horticultura e floricultura,"Agricultura, pecuária e serviços relacionados",36.0
2023-08-01,Desligado,42,Santa Catarina,1,Produção de lavouras temporárias,"Agricultura, pecuária e serviços relacionados",-528.0
2023-08-01,Desligado,42,Santa Catarina,1,Produção de lavouras permanentes,"Agricultura, pecuária e serviços relacionados",-402.0
2023-08-01,Admitido,42,Santa Catarina,1,Produção de lavouras temporárias,"Agricultura, pecuária e serviços relacionados",116.0
2023-08-01,Admitido,42,Santa Catarina,1,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,"Agricultura, pecuária e serviços relacionados",443.0
2023-08-01,Desligado,42,Santa Catarina,1,Horticultura e floricultura,"Agricultura, pecuária e serviços relacionados",-36.0
2023-08-01,Desligado,42,Santa Catarina,1,Produção de sementes e mudas certificadas,"Agricultura, pecuária e serviços relacionados",-43.0
2023-08-01,Desligado,42,Santa Catarina,1,Atividades de apoio à agricultura e à pecuária; atividades de pós-colheita,"Agricultura, pecuária e serviços relacionados",-521.0
2023-08-01,Desligado,42,Santa Catarina,1,Pecuária,"Agricultura, pecuária e serviços relacionados",-748.0
2023-08-01,Admitido,42,Santa Catarina,1,Pecuária,"Agricultura, pecuária e serviços relacionados",730.0
2023-08-01,Admitido,42,Santa Catarina,1,Produção de sementes e mudas certificadas,"Agricultura, pecuária e serviços relacionados",23.0
2023-08-01,Desligado,42,Santa Catarina,10,"Moagem, fabricação de produtos amiláceos e de alimentos para animais",Fabricação de produtos alimentícios,-397.0
2023-08-01,Admitido,42,Santa Catarina,10,Abate e fabricação de produtos de carne,Fabricação de produtos alimentícios,3643.0
2023-08-01,Admitido,42,Santa Catarina,10,"Fabricação de conservas de frutas, legumes e outros vegetais",Fabricação de produtos alimentícios,91.0
2023-08-01,Admitido,42,Santa Catarina,10,Laticínios,Fabricação de produtos alimentícios,580.0
2023-08-01,Desligado,42,Santa Catarina,10,Fabricação de outros produtos alimentícios,Fabricação de produtos alimentícios,-2126.0
2023-08-01,Desligado,42,Santa Catarina,10,Abate e fabricação de produtos de carne,Fabricação de produtos alimentícios,-3450.0
2023-08-01,Admitido,42,Santa Catarina,10,Fabricação de outros produtos alimentícios,Fabricação de produtos alimentícios,2136.0
2023-08-01,Desligado,42,Santa Catarina,10,Preservação do pescado e fabricação de produtos do pescado,Fabricação de produtos alimentícios,-399.0
