an_exercicio_consulta,anexo,cod_conta,cod_ibge,coluna,conta,exercicio,id_ente_consulta,instituicao,populacao,rotulo,uf,valor
2013,Anexo I-AB,Ativo,4218004,31/12/2013,1 - ATIVO = (84+85),2013,4218004,Prefeitura Municipal de Tijucas - SC,33847,,SC,106381810.21
2013,Anexo I-AB,AtivoFinanceiroQDCC,4218004,31/12/2013,2 - ATIVO FINANCEIRO = (3+14+19+20+27),2013,4218004,Prefeitura Municipal de Tijucas - SC,33847,,SC,35746957.58
2013,Anexo I-AB,Disponivel,4218004,31/12/2013,3 - DISPONÍVEL = (4+12+13),2013,4218004,Prefeitura Municipal de Tijucas - SC,33847,,SC,35740592.35
2013,Anexo I-AB,DisponivelEmMoedaNacional,4218004,31/12/2013,4 - EM MOEDA NACIONAL = (5+6+7),2013,4218004,Prefeitura Municipal de Tijucas - SC,33847,,SC,35740592.35
2013,Anexo I-AB,Caixa,4218004,31/12/2013,5 - Caixa,2013,4218004,Prefeitura Municipal de Tijucas - SC,33847,,SC,6380.05
2013,Anexo I-AB,BancosContaMovimento,4218004,31/12/2013,6 - Bancos c/ Movimento,2013,4218004,Prefeitura Municipal de Tijucas - SC,33847,,SC,1787840.62
2013,Anexo I-AB,AplicacoesFinanceirasQDCC,4218004,31/12/2013,7 - Aplicações Financeiras = ( 8+9+10+11),2013,4218004,Prefeitura Municipal de Tijucas - SC,33847,,SC,33946371.68
2013,Anexo I-AB,FundosDeAplicacaoFinanceira,4218004,31/12/2013,9 - Fundos de Aplicação Financeira,2013,4218004,Prefeitura Municipal de Tijucas - SC,33847,,SC,2515880.98
2013,Anexo I-AB,Poupancas,4218004,31/12/2013,10 - Poupanças,2013,4218004,Prefeitura Municipal de Tijucas - SC,33847,,SC,109932.02
2013,Anexo I-AB,OutrasAplicacoes,4218004,31/12/2013,11 - Outras aplicações,2013,4218004,Prefeitura Municipal de Tijucas - SC,33847,,SC,31320558.68
2013,Anexo I-AB,CreditosEmCirculacao,4218004,31/12/2013,14 - CRÉDITOS EM CIRCULAÇÃO - Disponível = (15+16+17+18),2013,4218004,Prefeitura Municipal de Tijucas - SC,33847,,SC,6365.23
2013,Anexo I-AB,CreditosAReceberEmCirculacao,4218004,31/12/2013,15 - Créditos a Receber - Em Circulação,2013,4218004,Prefeitura Municipal de Tijucas - SC,33847,,SC,6365.23
2013,Anexo I-AB,AtivoNaoFinanceiroQDCC,4218004,31/12/2013,28 - ATIVO NÃO FINANCEIRO = (29+45+48+50+62),2013,4218004,Prefeitura Municipal de Tijucas - SC,33847,,SC,34365905.29
2013,Anexo I-AB,RealizavelACurtoPrazo,4218004,31/12/2013,29 - REALIZÁVEL A CURTO PRAZO = (30+40),2013,4218004,Prefeitura Municipal de Tijucas - SC,33847,,SC,1112314.05
2013,Anexo I-AB,CreditosEmCirculacaoACurtoPrazo,4218004,31/12/2013,30 - Créditos em Circulação - Curto Prazo = (31-32+33+...+38-39),2013,4218004,Prefeitura Municipal de Tijucas - SC,33847,,SC,1111390.28
