an_exercicio_consulta,anexo,cod_conta,cod_ibge,coluna,conta,exercicio,id_ente_consulta,instituicao,populacao,rotulo,uf,valor
2023,DCA-Anexo I-AB,P1.0.0.0.0.00.00,4218004,31/12/2023,1.0.0.0.0.00.00 - Ativo,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,698119412
2023,DCA-Anexo I-AB,P1.1.0.0.0.00.00,4218004,31/12/2023,1.1.0.0.0.00.00 - Ativo Circulante,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,179195589.55
2023,DCA-Anexo I-AB,P1.1.1.0.0.00.00,4218004,31/12/2023,1.1.1.0.0.00.00 - Caixa e Equivalentes de Caixa,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,158119630.32
2023,DCA-Anexo I-AB,P1.1.1.1.0.00.00,4218004,31/12/2023,1.1.1.1.0.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,158119630.32
2023,DCA-Anexo I-AB,P1.1.1.1.1.00.00,4218004,31/12/2023,1.1.1.1.1.00.00 - Caixa e Equivalentes de Caixa em Moeda Nacional - Consolidação,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,158119630.32
2023,DCA-Anexo I-AB,P1.1.2.0.0.00.00,4218004,31/12/2023,1.1.2.0.0.00.00 - Créditos a Curto Prazo,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,14887329.01
2023,DCA-Anexo I-AB,P1.1.2.1.0.00.00,4218004,31/12/2023,1.1.2.1.0.00.00 - Créditos Tributários a Receber,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,14887329.01
2023,DCA-Anexo I-AB,P1.1.2.1.1.00.00,4218004,31/12/2023,1.1.2.1.1.00.00 - Créditos Tributários a Receber - Consolidação,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,14887329.01
2023,DCA-Anexo I-AB,P1.1.3.0.0.00.00,4218004,31/12/2023,1.1.3.0.0.00.00 - Demais Créditos e Valores a Curto Prazo,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,3232872.43
2023,DCA-Anexo I-AB,P1.1.3.1.0.00.00,4218004,31/12/2023,1.1.3.1.0.00.00 - Adiantamentos Concedidos,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,2304510.08
2023,DCA-Anexo I-AB,P1.1.3.1.1.00.00,4218004,31/12/2023,1.1.3.1.1.00.00 - Adiantamentos Concedidos - Consolidação,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,2267540.08
2023,DCA-Anexo I-AB,P1.1.3.1.5.00.00,4218004,31/12/2023,1.1.3.1.5.00.00 - Adiantamentos Concedidos - Inter OFSS - Município,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,36970
2023,DCA-Anexo I-AB,P1.1.3.5.0.00.00,4218004,31/12/2023,1.1.3.5.0.00.00 - Depósitos Restituíveis e Valores Vinculados - A Receber,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,20440.04
2023,DCA-Anexo I-AB,P1.1.3.5.1.00.00,4218004,31/12/2023,1.1.3.5.1.00.00 - Depósitos Restituíveis e Valores Vinculados - Consolidação,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,20440.04
2023,DCA-Anexo I-AB,P1.1.3.8.0.00.00,4218004,31/12/2023,1.1.3.8.0.00.00 - Outros Créditos a Receber e Valores a Curto Prazo,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,907922.31
2023,DCA-Anexo I-AB,P1.1.3.8.1.00.00,4218004,31/12/2023,1.1.3.8.1.00.00 - Outros Créditos a Receber e Valores a Curto Prazo - Consolidação,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,907922.31
2023,DCA-Anexo I-AB,P1.1.4.0.0.00.00,4218004,31/12/2023,1.1.4.0.0.00.00 - Investimentos e Aplicações Temporárias a Curto Prazo,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,25500.04
2023,DCA-Anexo I-AB,P1.1.4.1.0.00.00,4218004,31/12/2023,1.1.4.1.0.00.00 - Títulos e Valores Mobiliários,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,25500.04
2023,DCA-Anexo I-AB,P1.1.4.1.1.00.00,4218004,31/12/2023,1.1.4.1.1.00.00 - Títulos e Valores Mobiliários - Consolidação,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,25500.04
2023,DCA-Anexo I-AB,P1.1.5.0.0.00.00,4218004,31/12/2023,1.1.5.0.0.00.00 - Estoques,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,2590194.26
2023,DCA-Anexo I-AB,P1.1.5.1.0.00.00,4218004,31/12/2023,1.1.5.1.0.00.00 - Mercadorias para Revenda ou Doação,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,45119.67
2023,DCA-Anexo I-AB,P1.1.5.1.1.00.00,4218004,31/12/2023,1.1.5.1.1.00.00 - Mercadorias para Revenda ou Doação - Consolidação,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,45119.67
2023,DCA-Anexo I-AB,P1.1.5.3.0.00.00,4218004,31/12/2023,1.1.5.3.0.00.00 - Produtos e Serviços em Elaboração,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,200273.85
2023,DCA-Anexo I-AB,P1.1.5.3.1.00.00,4218004,31/12/2023,1.1.5.3.1.00.00 - Produtos e Serviços em Elaboração - Consolidação,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,200273.85
2023,DCA-Anexo I-AB,P1.1.5.6.0.00.00,4218004,31/12/2023,1.1.5.6.0.00.00 - Almoxarifado,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,2344800.74
2023,DCA-Anexo I-AB,P1.1.5.6.1.00.00,4218004,31/12/2023,1.1.5.6.1.00.00 - Almoxarifado - Consolidação,2023,4218004,Prefeitura Municipal de Tijucas - SC,39889,Padrão,SC,2344800.74
