exercicio,demonstrativo,periodo,periodicidade,instituicao,cod_ibge,uf,populacao,anexo,esfera,rotulo,coluna,cod_conta,conta,valor,_periodo,_anexo
2025,RREO,1,B,Prefeitura Municipal de Tijucas - SC,4218004,SC,49474,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),349352833.33,1,RREO-Anexo 01
2025,RREO,1,B,Prefeitura Municipal de Tijucas - SC,4218004,SC,49474,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),349352833.33,1,RREO-Anexo 01
2025,RREO,1,B,Prefeitura Municipal de Tijucas - SC,4218004,SC,49474,RREO-Anexo 01,M,Padrão,No Bimestre (b),ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),62949622.45,1,RREO-Anexo 01
2025,RREO,1,B,Prefeitura Municipal de Tijucas - SC,4218004,SC,49474,RREO-Anexo 01,M,Padrão,% (b/a),ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),18.02,1,RREO-Anexo 01
2025,RREO,1,B,Prefeitura Municipal de Tijucas - SC,4218004,SC,49474,RREO-Anexo 01,M,Padrão,Até o Bimestre (c),ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),62949622.45,1,RREO-Anexo 01
2025,RREO,1,B,Prefeitura Municipal de Tijucas - SC,4218004,SC,49474,RREO-Anexo 01,M,Padrão,% (c/a),ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),18.02,1,RREO-Anexo 01
2025,RREO,1,B,Prefeitura Municipal de Tijucas - SC,4218004,SC,49474,RREO-Anexo 01,M,Padrão,SALDO (a-c),ReceitasExcetoIntraOrcamentarias,RECEITAS (EXCETO INTRA-ORÇAMENTÁRIAS) (I),286403210.88,1,RREO-Anexo 01
2025,RREO,1,B,Prefeitura Municipal de Tijucas - SC,4218004,SC,49474,RREO-Anexo 01,M,Padrão,PREVISÃO INICIAL,ReceitasCorrentes,RECEITAS CORRENTES,292439041.04,1,RREO-Anexo 01
2025,RREO,1,B,Prefeitura Municipal de Tijucas - SC,4218004,SC,49474,RREO-Anexo 01,M,Padrão,PREVISÃO ATUALIZADA (a),ReceitasCorrentes,RECEITAS CORRENTES,292439041.04,1,RREO-Anexo 01
2025,RREO,1,B,Prefeitura Municipal de Tijucas - SC,4218004,SC,49474,RREO-Anexo 01,M,Padrão,No Bimestre (b),ReceitasCorrentes,RECEITAS CORRENTES,62949622.45,1,RREO-Anexo 01
